"","book_name","book_score","people","author","date","pub"
"149","东方快车谋杀案","9.0","93364","[英] 阿加莎·克里斯蒂 ","2006-5 "," 陈尧光 / 人民文学出版社"
"150","追风筝的人","8.9","635143","[美] 卡勒德·胡赛尼 ","2006-5 "," 李继宏 / 上海人民出版社"
"151","白夜行","9.1","254241","[日] 东野圭吾 ","2013-1-1 "," 刘姿君 / 南海出版"
"152","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"153","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"154","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"155","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"156","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"157","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"158","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"159","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"160","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"161","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"162","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"163","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"164","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"165","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"166","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"167","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"168","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"169","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"170","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"171","肖申克的救赎","9.1","82799","[美] 斯蒂芬·金 ","2006-7 "," 施寄青 / 人民文学出版社"
"172","中国历代政治得失","9.2","41347","钱穆 ","2001 ",NA
"173","东方快车谋杀案","9.0","93364","[英] 阿加莎·克里斯蒂 ","2006-5 "," 陈尧光 / 人民文学出版社"
"174","追风筝的人","8.9","635143","[美] 卡勒德·胡赛尼 ","2006-5 "," 李继宏 / 上海人民出版社"
"175","万历十五年","8.9","139632","[美] 黄仁宇 ","1997-5 ",NA
"176","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"177","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"178","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"179","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"180","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"181","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"182","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"183","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"184","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"185","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"186","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"187","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"188","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"189","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"190","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"191","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"192","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"193","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"194","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"195","肖申克的救赎","9.1","82799","[美] 斯蒂芬·金 ","2006-7 "," 施寄青 / 人民文学出版社"
"196","中国历代政治得失","9.2","41347","钱穆 ","2001 ",NA
"197","东方快车谋杀案","9.0","93364","[英] 阿加莎·克里斯蒂 ","2006-5 "," 陈尧光 / 人民文学出版社"
"198","追风筝的人","8.9","635143","[美] 卡勒德·胡赛尼 ","2006-5 "," 李继宏 / 上海人民出版社"
"199","万历十五年","8.9","139632","[美] 黄仁宇 ","1997-5 ",NA
"200","夹边沟记事","9.2","25886","杨显惠 ","2008-09 "," 花城出版社"
"201","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"202","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"203","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"204","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"205","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"206","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"207","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"208","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"209","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"210","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"211","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"212","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"213","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"214","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"215","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"216","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"217","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"218","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"219","肖申克的救赎","9.1","82799","[美] 斯蒂芬·金 ","2006-7 "," 施寄青 / 人民文学出版社"
"220","中国历代政治得失","9.2","41347","钱穆 ","2001 ",NA
"221","东方快车谋杀案","9.0","93364","[英] 阿加莎·克里斯蒂 ","2006-5 "," 陈尧光 / 人民文学出版社"
"222","追风筝的人","8.9","635143","[美] 卡勒德·胡赛尼 ","2006-5 "," 李继宏 / 上海人民出版社"
"223","万历十五年","8.9","139632","[美] 黄仁宇 ","1997-5 ",NA
"224","夹边沟记事","9.2","25886","杨显惠 ","2008-09 "," 花城出版社"
"225","嫌疑人X的献身","8.9","401593","[日] 东野圭吾 ","2008-9 "," 刘子倩 / 南海出版"
"226","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"227","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"228","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"229","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"230","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"231","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"232","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"233","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"234","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"235","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"236","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"237","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"238","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"239","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"240","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"241","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"242","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"243","肖申克的救赎","9.1","82799","[美] 斯蒂芬·金 ","2006-7 "," 施寄青 / 人民文学出版社"
"244","中国历代政治得失","9.2","41347","钱穆 ","2001 ",NA
"245","东方快车谋杀案","9.0","93364","[英] 阿加莎·克里斯蒂 ","2006-5 "," 陈尧光 / 人民文学出版社"
"246","追风筝的人","8.9","635143","[美] 卡勒德·胡赛尼 ","2006-5 "," 李继宏 / 上海人民出版社"
"247","万历十五年","8.9","139632","[美] 黄仁宇 ","1997-5 ",NA
"248","夹边沟记事","9.2","25886","杨显惠 ","2008-09 "," 花城出版社"
"249","嫌疑人X的献身","8.9","401593","[日] 东野圭吾 ","2008-9 "," 刘子倩 / 南海出版"
"250","江城","9.0","36179","[美] 彼得·海斯勒 ","2012-1 "," 李雪顺 / 上海译文出版社"
