"决定","性别","吸引力","共同爱好","幽默","真诚","雄心","智力","好感","成功率自估","日常出门频率","对宗教的看重程度","对种族的看重程度","年龄","种族","从事领域","对方决定","好感得分","对方评估成功率","吸引力得分","共同爱好得分","幽默得分","真诚得分","雄心得分","智力得分","对方年龄","对方种族","是否同一种族","日常约会频率"
0,0,9,10,10,10,10,10,9,NA,1,4,8,25,2,2,1,6,1,6,NA,6,10,NA,8,24,3,0,3
0,0,8,9,7,10,9,10,8,NA,1,4,8,25,2,2,1,6,7,7,6,6,6,6,6,25,2,1,3
0,0,8,9,7,9,7,10,8,7,1,4,8,25,2,2,0,2,2,6,4,4,3,5,5,30,2,1,3
0,0,7,7,8,9,9,9,8,7,1,4,8,25,2,2,0,5,1,4,4,4,5,6,6,27,2,1,3
0,0,9,9,9,9,9,9,9,7,1,4,8,25,2,2,1,7,7,7,7,8,7,7,6,28,2,1,3
0,0,8,7,7,7,9,9,8,7,1,4,8,25,2,2,0,5,5,5,6,5,6,8,8,24,2,1,3
0,0,4,7,5,10,8,8,6,7,1,1,1,23,2,1,0,6,3,6,5,7,7,7,8,27,2,1,5
0,0,8,8,10,7,7,8,8,1,1,1,1,23,2,1,0,6,3,6,5,6,5,6,10,22,2,1,5
0,0,4,7,8,7,6,8,4,1,1,1,1,23,2,1,1,10,10,10,10,10,10,10,10,22,4,0,5
1,0,8,10,10,10,7,7,8,10,1,1,1,23,2,1,1,8,10,7,9,9,7,9,7,23,2,1,5
0,0,6,9,9,9,8,8,7,7,1,1,1,23,2,1,1,9,7,8,9,8,8,8,9,24,3,0,5
0,0,5,2,4,10,8,8,4,3,1,1,1,23,2,1,1,6,6,6,7,7,6,8,7,25,2,1,5
0,0,7,5,7,10,10,10,5,1,1,1,1,23,2,1,1,6,4,7,5,5,6,6,3,30,2,1,5
0,0,5,7,5,9,9,9,6,6,1,1,1,23,2,1,0,7,7,6,5,6,7,6,8,27,2,1,5
1,0,9,8,10,8,7,10,8,8,1,1,1,23,2,1,1,8,8,7,10,10,7,9,7,28,2,1,5
1,0,8,8,10,9,8,10,10,8,1,1,1,23,2,1,0,7,7,7,7,7,8,8,8,24,2,1,5
0,0,5,2,2,8,2,8,7,5,1,1,8,21,2,1,0,6,5,6,6,8,8,7,8,27,2,1,4
0,0,8,5,5,6,5,6,6,4,1,1,8,21,2,1,0,7,4,6,5,7,7,6,10,22,2,1,4
0,0,4,5,8,6,6,8,6,5,1,1,8,21,2,1,1,10,10,10,10,10,10,10,10,22,4,0,4
1,0,8,9,7,5,7,5,8,2,1,1,8,21,2,1,1,7,7,6,10,8,8,10,6,23,2,1,4
0,0,6,8,5,7,4,7,7,4,1,1,8,21,2,1,0,5,7,5,5,7,9,9,9,24,3,0,4
1,0,5,8,5,6,7,7,7,3,1,1,8,21,2,1,0,6,7,5,7,7,8,7,7,25,2,1,4
1,0,6,6,5,6,5,8,6,3,1,1,8,21,2,1,0,3,3,2,3,4,3,5,4,30,2,1,4
1,0,5,5,6,5,7,7,6,4,1,1,8,21,2,1,0,6,5,5,5,5,5,5,6,27,2,1,4
1,0,7,9,8,5,7,7,9,4,1,1,8,21,2,1,1,7,7,5,6,9,9,9,9,28,2,1,4
1,0,9,5,9,6,6,7,10,3,1,1,8,21,2,1,0,4,10,3,5,7,10,10,7,24,2,1,4
1,0,6,6,6,9,7,7,6,6,1,1,1,23,4,1,0,7,4,7,4,9,9,8,8,27,2,0,3
1,0,6,2,6,9,8,9,7,6,1,1,1,23,4,1,0,7,4,6,6,6,8,7,10,22,2,0,3
0,0,4,2,4,7,3,9,6,2,1,1,1,23,4,1,1,10,10,10,10,10,10,10,10,22,4,1,3
1,0,8,8,8,6,2,7,9,4,1,1,1,23,4,1,1,7,7,6,8,7,8,9,8,23,2,0,3
0,0,5,2,8,4,4,8,4,3,1,1,1,23,4,1,1,9,2,9,6,7,7,9,9,24,3,0,3
0,0,3,1,1,7,1,6,2,2,1,1,1,23,4,1,1,6,6,6,7,8,6,8,8,25,2,0,3
1,0,8,4,8,8,3,8,8,7,1,1,1,23,4,1,0,3,3,5,4,4,6,5,8,30,2,0,3
0,0,4,3,2,8,8,9,5,5,1,1,1,23,4,1,0,7,6,6,5,7,7,8,8,27,2,0,3
1,0,7,9,8,6,6,8,9,6,1,1,1,23,4,1,1,6,6,6,6,6,7,6,7,28,2,0,3
1,0,8,7,9,9,10,9,9,8,1,1,1,23,4,1,0,6,7,7,7,6,10,10,10,24,2,0,3
0,0,4,4,5,8,7,8,7,4,1,4,2,22,4,1,0,7,4,7,7,8,8,7,8,27,2,0,5
0,0,6,4,4,6,9,8,7,3,1,4,2,22,4,1,1,8,4,7,5,6,9,6,10,22,2,0,5
0,0,3,8,7,6,8,8,7,8,1,4,2,22,4,1,1,10,10,10,10,10,10,10,10,22,4,1,5
1,0,7,6,7,8,7,8,8,6,1,4,2,22,4,1,1,8,7,8,9,8,8,9,9,23,2,0,5
0,0,4,5,4,7,8,7,5,6,1,4,2,22,4,1,1,8,4,8,5,6,7,9,9,24,3,0,5
0,0,4,4,4,8,5,7,5,5,1,4,2,22,4,1,1,7,7,8,6,6,8,6,8,25,2,0,5
1,0,7,7,7,7,7,8,8,7,1,4,2,22,4,1,0,5,4,7,3,4,6,4,5,30,2,0,5
0,0,5,5,5,7,9,8,5,7,1,4,2,22,4,1,1,7,5,8,5,7,7,7,6,27,2,0,5
1,0,6,6,8,6,8,8,6,6,1,4,2,22,4,1,1,9,9,9,10,9,7,9,9,28,2,0,5
1,0,8,6,7,6,8,7,7,5,1,4,2,22,4,1,0,7,7,7,7,6,6,8,8,24,2,0,5
1,0,5,5,4,8,7,7,4,5,1,1,1,25,2,13,0,7,4,8,5,6,7,6,6,27,2,1,5
1,0,8,7,9,7,6,7,8,7,1,1,1,25,2,13,1,9,4,8,5,7,8,6,10,22,2,1,5
1,0,5,7,6,8,7,8,5,5,1,1,1,25,2,13,1,10,10,10,10,10,10,10,10,22,4,0,5
1,0,8,5,6,6,6,5,5,6,1,1,1,25,2,13,1,8,7,8,7,8,8,8,8,23,2,1,5
1,0,6,7,5,8,6,8,6,5,1,1,1,25,2,13,1,9,7,9,7,9,9,NA,8,24,3,0,5
1,0,6,7,5,8,6,8,6,5,1,1,1,25,2,13,1,7,6,8,7,7,7,8,7,25,2,1,5
1,0,6,7,5,7,7,8,6,6,1,1,1,25,2,13,0,4,4,6,4,5,4,6,7,30,2,1,5
1,0,5,6,4,6,5,7,5,4,1,1,1,25,2,13,1,7,5,9,5,8,8,7,8,27,2,1,5
1,0,8,9,9,8,8,5,7,10,1,1,1,25,2,13,1,8,8,8,10,10,7,8,8,28,2,1,5
1,0,7,8,7,6,9,8,8,7,1,1,1,25,2,13,1,8,8,8,8,9,10,8,9,24,2,1,5
1,0,8,6,8,10,7,9,5,5,1,1,1,26,6,13,0,6,4,6,5,8,8,7,7,27,2,0,4
1,0,10,10,10,10,10,10,10,5,1,1,1,26,6,13,1,8,4,8,5,7,8,6,10,22,2,0,4
1,0,5,6,6,10,6,10,8,5,1,1,1,26,6,13,1,10,10,10,10,10,10,10,10,22,4,0,4
1,0,10,7,8,9,7,8,7,5,1,1,1,26,6,13,1,7,7,7,7,8,8,8,7,23,2,0,4
1,0,5,5,8,10,5,8,5,5,1,1,1,26,6,13,1,7,8,7,7,9,9,7,8,24,3,0,4
1,0,8,5,7,9,6,9,6,5,1,1,1,26,6,13,1,6,5,6,7,8,6,7,7,25,2,0,4
1,0,6,6,6,8,6,9,7,5,1,1,1,26,6,13,1,8,4,8,5,8,6,6,7,30,2,0,4
1,0,6,6,7,7,9,8,7,5,1,1,1,26,6,13,0,7,5,7,5,7,7,6,7,27,2,0,4
1,0,8,5,6,5,5,5,7,6,1,1,1,26,6,13,1,6,6,6,6,7,6,6,6,28,2,0,4
1,0,7,8,8,8,7,7,8,5,1,1,1,26,6,13,0,6,6,5,6,6,6,6,6,24,2,0,4
0,0,6,NA,6,10,6,10,6,3,1,4,4,26,2,13,0,6,3,7,5,8,8,6,7,27,2,1,6
0,0,1,NA,1,1,1,1,1,1,1,4,4,26,2,13,0,1,1,1,1,1,1,1,1,22,2,1,6
1,0,6,NA,10,10,6,10,7,6,1,4,4,26,2,13,1,10,10,10,10,10,10,10,10,22,4,0,6
0,0,10,NA,10,10,10,10,10,1,1,4,4,26,2,13,1,7,7,7,8,9,8,8,7,23,2,1,6
0,0,5,NA,7,7,7,7,6,1,1,4,4,26,2,13,1,6,6,6,NA,7,9,8,9,24,3,0,6
0,0,5,NA,4,10,6,6,6,1,1,4,4,26,2,13,0,6,6,NA,7,7,8,7,7,25,2,1,6
1,0,5,NA,6,10,9,8,7,1,1,4,4,26,2,13,0,3,6,7,4,3,7,4,4,30,2,1,6
0,0,5,NA,4,6,5,6,5,5,1,4,4,26,2,13,0,7,6,6,5,6,6,6,6,27,2,1,6
1,0,9,9,9,9,9,9,9,9,1,4,4,26,2,13,1,7,8,7,6,7,7,6,7,28,2,1,6
1,0,9,8,10,9,8,8,9,10,1,4,4,26,2,13,0,7,7,6,6,6,6,6,6,24,2,1,6
0,1,6,6,8,8,8,8,7,4,4,3,7,27,2,8,1,7,6,6,5,7,9,6,7,21,4,0,5
0,1,8,4,9,7,7,6,7,2,4,3,7,27,2,8,0,6,4,5,3,4,7,6,8,24,2,1,5
0,1,7,4,5,8,8,6,5,2,4,3,7,27,2,8,0,8,7,7,9,7,9,8,10,25,2,1,5
0,1,6,5,7,7,7,8,6,3,4,3,7,27,2,8,0,6,7,4,7,5,10,8,8,23,2,1,5
0,1,6,6,8,8,7,8,6,5,4,3,7,27,2,8,0,7,5,5,2,2,8,2,8,21,2,1,5
0,1,7,4,9,9,8,8,7,4,4,3,7,27,2,8,1,6,6,6,6,6,9,7,7,23,4,0,5
0,1,7,7,8,8,7,8,7,4,4,3,7,27,2,8,0,7,4,4,4,5,8,7,8,22,4,0,5
0,1,8,5,6,7,6,6,7,4,4,3,7,27,2,8,1,4,5,5,5,4,8,7,7,25,2,1,5
0,1,6,5,8,8,7,7,6,4,4,3,7,27,2,8,1,5,5,8,6,8,10,7,9,26,6,0,5
0,1,7,5,8,8,6,7,6,3,4,3,7,27,2,8,0,6,3,6,NA,6,10,6,10,26,2,1,5
0,1,7,5,7,8,7,10,8,4,1,1,1,22,2,1,1,7,5,7,6,8,8,5,7,21,4,0,1
0,1,7,5,6,6,6,10,8,4,1,1,1,22,2,1,0,7,3,8,6,6,5,9,6,24,2,1,1
0,1,6,5,6,7,6,10,7,3,1,1,1,22,2,1,0,8,7,9,7,8,7,9,9,25,2,1,1
0,1,6,5,6,5,6,10,6,3,1,1,1,22,2,1,0,8,1,8,8,10,7,7,8,23,2,1,1
0,1,6,5,7,7,6,10,7,4,1,1,1,22,2,1,0,6,4,8,5,5,6,5,6,21,2,1,1
0,1,6,6,6,8,7,10,7,4,1,1,1,22,2,1,1,7,6,6,2,6,9,8,9,23,4,0,1
1,1,7,5,6,9,6,10,8,4,1,1,1,22,2,1,0,7,3,6,4,4,6,9,8,22,4,0,1
1,1,8,5,7,8,6,10,9,4,1,1,1,22,2,1,1,8,7,8,7,9,7,6,7,25,2,1,1
1,1,8,5,7,8,6,10,8,4,1,1,1,22,2,1,1,10,5,10,10,10,10,10,10,26,6,0,1
0,1,1,1,1,1,1,1,1,1,1,1,1,22,2,1,0,1,1,1,NA,1,1,1,1,26,2,1,1
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,1,7,NA,5,7,8,8,5,9,21,4,1,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,6,7,5,4,6,8,3,9,24,2,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,8,7,7,7,7,9,9,9,25,2,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,4,1,4,7,8,7,6,8,23,2,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,6,5,4,5,8,6,6,8,21,2,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,6,2,4,2,4,7,3,9,23,4,1,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,0,7,8,3,8,7,6,8,8,22,4,1,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,1,5,5,5,7,6,8,7,8,25,2,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,1,8,5,5,6,6,10,6,10,26,6,0,7
1,1,10,10,10,10,10,10,10,10,1,5,3,22,4,1,1,7,6,6,NA,10,10,6,10,26,2,0,7
1,1,7,8,8,8,9,9,7,7,1,1,1,23,2,1,1,7,6,7,8,7,6,6,8,21,4,0,4
1,1,9,9,9,9,9,9,9,7,1,1,1,23,2,1,1,7,8,7,7,6,9,5,7,24,2,1,4
1,1,7,8,8,9,8,8,7,7,1,1,1,23,2,1,0,8,7,9,7,7,7,9,9,25,2,1,4
1,1,7,9,9,7,9,7,8,10,1,1,1,23,2,1,1,8,10,8,10,10,10,7,7,23,2,1,4
1,1,6,10,8,8,10,6,7,7,1,1,1,23,2,1,1,8,2,8,9,7,5,7,5,21,2,1,4
1,1,6,8,7,8,9,8,7,7,1,1,1,23,2,1,1,9,4,8,8,8,6,2,7,23,4,0,4
1,1,8,9,8,8,9,9,8,7,1,1,1,23,2,1,1,8,6,7,6,7,8,7,8,22,4,0,4
1,1,8,7,8,8,8,8,8,7,1,1,1,23,2,1,1,5,6,8,5,6,6,6,5,25,2,1,4
1,1,7,7,8,8,8,7,7,7,1,1,1,23,2,1,1,7,5,10,7,8,9,7,8,26,6,0,4
1,1,7,8,9,8,8,7,7,7,1,1,1,23,2,1,0,10,1,10,NA,10,10,10,10,26,2,1,4
1,1,8,7,6,7,9,9,8,6,1,1,3,24,3,1,1,6,6,5,6,7,6,6,7,21,4,0,4
1,1,10,8,10,10,7,10,10,1,1,1,3,24,3,1,0,8,6,6,8,9,8,7,7,24,2,0,4
1,1,6,NA,6,10,NA,8,6,1,1,1,3,24,3,1,0,9,NA,9,10,10,10,10,10,25,2,0,4
1,1,8,9,8,8,8,9,9,7,1,1,3,24,3,1,0,7,7,6,9,9,9,8,8,23,2,0,4
0,1,5,5,7,9,9,9,5,7,1,1,3,24,3,1,0,7,4,6,8,5,7,4,7,21,2,0,4
1,1,9,6,7,7,9,9,9,2,1,1,3,24,3,1,0,4,3,5,2,8,4,4,8,23,4,0,4
1,1,8,5,6,7,9,9,8,4,1,1,3,24,3,1,0,5,6,4,5,4,7,8,7,22,4,0,4
1,1,9,7,9,9,NA,8,9,7,1,1,3,24,3,1,1,6,5,6,7,5,8,6,8,25,2,0,4
1,1,7,7,9,9,7,8,7,8,1,1,3,24,3,1,1,5,5,5,5,8,10,5,8,26,6,0,4
1,1,6,NA,7,9,8,9,6,6,1,1,3,24,3,1,0,6,1,5,NA,7,7,7,7,26,2,0,4
1,1,7,7,8,7,7,8,7,6,1,2,9,25,2,8,0,6,5,4,4,4,9,6,7,21,4,0,5
1,1,7,7,5,8,7,7,7,5,1,2,9,25,2,8,0,6,5,8,2,3,7,6,8,24,2,1,5
1,1,7,6,6,6,6,6,6,7,1,2,9,25,2,8,0,8,NA,8,9,7,10,9,10,25,2,1,5
1,1,6,7,7,6,8,7,6,6,1,2,9,25,2,8,0,4,3,5,2,4,10,8,8,23,2,1,5
0,1,5,7,7,8,7,7,6,7,1,2,9,25,2,8,1,7,3,5,8,5,6,7,7,21,2,1,5
1,1,6,7,8,6,8,8,6,6,1,2,9,25,2,8,0,2,2,3,1,1,7,1,6,23,4,0,5
1,1,8,6,6,8,6,8,7,7,1,2,9,25,2,8,0,5,5,4,4,4,8,5,7,22,4,0,5
1,1,8,7,7,7,8,7,7,6,1,2,9,25,2,8,1,6,5,6,7,5,8,6,8,25,2,1,5
1,1,6,7,8,6,7,7,6,5,1,2,9,25,2,8,1,6,5,8,5,7,9,6,9,26,6,0,5
0,1,NA,7,7,8,7,7,6,6,1,2,9,25,2,8,0,6,1,5,NA,4,10,6,6,26,2,1,5
0,1,3,7,5,6,8,7,2,1,2,1,1,30,2,13,1,6,5,7,7,4,6,6,7,21,4,0,3
0,1,5,3,3,3,5,4,4,3,2,1,1,30,2,13,1,8,7,7,9,6,5,7,9,24,2,1,3
0,1,6,4,4,3,5,5,2,2,2,1,1,30,2,13,0,8,7,8,9,7,9,7,10,25,2,1,3
1,1,7,5,5,6,6,3,6,4,2,1,1,30,2,13,0,5,1,7,5,7,10,10,10,23,2,1,3
0,1,2,3,4,3,5,4,3,3,2,1,1,30,2,13,1,6,3,6,6,5,6,5,8,21,2,1,3
0,1,5,4,4,6,5,8,3,3,2,1,1,30,2,13,1,8,7,8,4,8,8,3,8,23,4,0,3
0,1,7,3,4,6,4,5,5,4,2,1,1,30,2,13,1,8,7,7,7,7,7,7,8,22,4,0,3
0,1,6,4,5,4,6,7,4,4,2,1,1,30,2,13,1,6,6,6,7,5,7,7,8,25,2,1,3
1,1,8,5,8,6,6,7,8,4,2,1,1,30,2,13,1,7,5,6,6,6,8,6,9,26,6,0,3
0,1,7,4,3,7,4,4,3,6,2,1,1,30,2,13,1,7,1,5,NA,6,10,9,8,26,2,1,3
0,1,6,6,6,7,8,5,7,5,1,8,8,27,2,8,0,6,7,4,6,6,9,5,7,21,4,0,6
1,1,7,5,7,7,7,7,7,6,1,8,8,27,2,8,0,5,6,5,5,5,8,9,7,24,2,1,6
0,1,4,4,4,5,6,6,5,1,1,8,8,27,2,8,0,8,7,7,7,8,9,9,9,25,2,1,6
0,1,6,5,6,7,6,8,7,7,1,8,8,27,2,8,0,6,6,5,7,5,9,9,9,23,2,1,6
0,1,5,5,5,5,5,6,6,5,1,8,8,27,2,8,1,6,4,5,5,6,5,7,7,21,2,1,6
0,1,6,5,7,7,8,8,7,6,1,8,8,27,2,8,0,5,5,4,3,2,8,8,9,23,4,0,6
1,1,8,5,7,7,7,6,7,5,1,8,8,27,2,8,0,5,7,5,5,5,7,9,8,22,4,0,6
1,1,9,5,8,8,7,8,7,5,1,8,8,27,2,8,1,5,4,5,6,4,6,5,7,25,2,1,6
0,1,7,5,7,7,6,7,7,5,1,8,8,27,2,8,1,7,5,6,6,7,7,9,8,26,6,0,6
0,1,6,5,6,6,6,6,7,6,1,8,8,27,2,8,0,5,5,5,NA,4,6,5,6,26,2,1,6
1,1,7,9,8,7,8,8,6.5,8,1,1,1,28,2,8,1,7,7,7,8,9,6,8,8,21,4,0,1
1,1,8,7,9,6,8,9,8,8,1,1,1,28,2,8,1,5,6,7,5,9,6,4,8,24,2,1,1
1,1,7,7,8,7,7,6,7,7,1,1,1,28,2,8,0,9,7,9,9,9,9,9,9,25,2,1,1
1,1,7,10,10,7,9,7,8,8,1,1,1,28,2,8,1,8,8,9,8,10,8,7,10,23,2,1,1
1,1,5,6,9,9,9,9,7,7,1,1,1,28,2,8,1,9,4,7,9,8,5,7,7,21,2,1,1
1,1,6,6,6,7,6,7,6,6,1,1,1,28,2,8,1,9,6,7,9,8,6,6,8,23,4,0,1
1,1,9,10,9,7,9,9,9,9,1,1,1,28,2,8,1,6,6,6,6,8,6,8,8,22,4,0,1
1,1,8,10,10,7,8,8,8,8,1,1,1,28,2,8,1,7,10,8,9,9,8,8,5,25,2,1,1
1,1,6,6,7,6,6,6,6,6,1,1,1,28,2,8,1,7,6,8,5,6,5,5,5,26,6,0,1
1,1,7,6,7,7,6,7,7,8,1,1,1,28,2,8,1,9,9,9,9,9,9,9,9,26,2,1,1
0,1,6,6,6,6,6,6,6,6,1,1,1,24,2,8,1,6,6,5,8,8,6,10,6,21,4,0,1
0,1,6,7,7,5,9,7,6,9,1,1,1,24,2,8,1,8,7,6,8,7,7,9,8,24,2,1,1
0,1,5,6,5,6,8,8,5,5,1,1,1,24,2,8,0,8,7,8,7,7,7,9,9,25,2,1,1
0,1,7,7,7,8,8,8,7,7,1,1,1,24,2,8,1,10,8,8,8,10,9,8,10,23,2,1,1
0,1,3,5,7,10,10,7,4,10,1,1,1,24,2,8,1,10,3,9,5,9,6,6,7,21,2,1,1
0,1,7,7,6,10,10,10,6,7,1,1,1,24,2,8,1,9,8,8,7,9,9,10,9,23,4,0,1
0,1,7,7,6,6,8,8,7,7,1,1,1,24,2,8,1,7,5,8,6,7,6,8,7,22,4,0,1
1,1,8,8,9,10,8,9,8,8,1,1,1,24,2,8,1,8,7,7,8,7,6,9,8,25,2,1,1
0,1,5,6,6,6,6,6,6,6,1,1,1,24,2,8,1,8,5,7,8,8,8,7,7,26,6,0,1
0,1,6,6,6,6,6,6,7,7,1,1,1,24,2,8,1,9,10,9,8,10,9,8,8,26,2,1,1
0,0,6,7,9,8,5,7,9,1,4,10,8,21,4,5,0,4,1,3,7,6,10,4,10,25,4,1,7
0,0,5,5,5,8,9,7,7,2,4,10,8,21,4,5,0,5,NA,5,NA,5,5,5,5,30,4,1,7
1,0,8,6,8,9,7,8,9,3,4,10,8,21,4,5,0,6,7,3,2,5,10,9,9,23,4,1,7
0,0,5,3,4,8,9,8,6,1,4,10,8,21,4,5,0,5,2,4,2,4,5,6,6,24,2,0,7
0,0,7,2,5,7,7,8,6,1,4,10,8,21,4,5,1,8,8,6,7,6,7,7,8,24,2,0,7
0,0,6,4,6,8,8,8,5,2,4,10,8,21,4,5,1,7,7,7,6,7,8,9,8,28,2,0,7
0,0,6,5,6,8,8,8,8,2,4,10,8,21,4,5,0,8,6,6,8,8,7,9,10,26,2,0,7
0,0,4,3,4,7,7,7,5,1,4,10,8,21,4,5,1,5,6,9,7,5,5,5,6,30,2,0,7
0,0,7,3,5,7,6,7,6,1,4,10,8,21,4,5,0,4,2,3,3,5,8,8,5,22,2,0,7
1,0,9,8,9,9,9,10,9,5,4,10,8,21,4,5,0,6,6,6,4,4,7,6,8,25,4,1,7
0,0,5,6,7,7,7,7,6,1,4,10,8,21,4,5,0,7,7,5,NA,NA,8,NA,8,27,1,0,7
0,0,7,2,4,4,4,6,2,1,4,10,8,21,4,5,0,5,3,2,2,3,8,2,8,23,2,0,7
0,0,5,2,5,8,8,8,6,1,4,10,8,21,4,5,0,6,3,6,6,6,6,7,8,21,2,0,7
0,0,6,2,7,8,7,7,6,1,4,10,8,21,4,5,0,7,7,6,6,7,8,7,8,28,2,0,7
0,0,6,2,6,8,8,7,6,1,4,10,8,21,4,5,0,5,5,5,5,7,7,7,7,28,2,0,7
0,0,5,5,8,9,9,9,8,3,4,10,8,21,4,5,0,6,6,5,5,7,8,9,10,23,1,0,7
0,0,5,5,6,7,7,7,6,4,2,2,1,27,1,9,0,3,1,4,4,8,10,6,8,25,4,0,6
0,0,4,2,6,7,7,6,3,3,2,2,1,27,1,9,0,5,NA,5,NA,5,5,5,5,30,4,0,6
0,0,5,3,5,6,6,6,3,2,2,2,1,27,1,9,0,2,1,3,1,5,6,5,8,23,4,0,6
0,0,5,3,5,7,7,7,4,3,2,2,1,27,1,9,0,5,2,4,1,3,5,5,5,24,2,0,6
1,0,6,6,7,8,7,8,6,6,2,2,1,27,1,9,1,6,5,6,5,6,7,8,6,24,2,0,6
1,0,6,6,4,7,6,7,6,6,2,2,1,27,1,9,1,6,5,7,5,5,7,6,7,28,2,0,6
1,0,8,7,7,7,6,7,7,4,2,2,1,27,1,9,0,5,5,5,5,5,8,6,5,26,2,0,6
0,0,5,5,6,7,6,7,5,4,2,2,1,27,1,9,1,4,6,NA,3,5,5,6,6,30,2,0,6
1,0,7,6,7,7,7,7,7,4,2,2,1,27,1,9,0,5,1,4,3,5,6,NA,6,22,2,0,6
0,0,6,4,5,7,7,7,5,3,2,2,1,27,1,9,0,7,4,7,NA,7,8,7,7,25,4,0,6
1,0,5,7,7,6,7,7,6,6,2,2,1,27,1,9,0,7,7,6,NA,6,8,NA,7,27,1,1,6
0,0,3,2,4,4,4,5,2,1,2,2,1,27,1,9,0,2,1,2,1,2,2,2,3,23,2,0,6
0,0,3,4,5,6,5,7,2,2,2,2,1,27,1,9,0,4,2,4,5,6,6,5,7,21,2,0,6
1,0,7,8,6,7,7,8,8,5,2,2,1,27,1,9,0,7,5,6,6,7,8,8,8,28,2,0,6
0,0,4,4,4,5,5,5,4,2,2,2,1,27,1,9,0,6,4,4,5,6,7,6,7,28,2,0,6
1,0,6,7,7,7,7,7,7,6,2,2,1,27,1,9,0,7,7,5,8,7,8,10,9,23,1,1,6
1,0,5,7,6,7,6,6,8,6,1,6,9,21,4,3,0,1,1,5,3,7,4,4,3,25,4,1,1
0,0,5,7,6,7,6,7,7,6,1,6,9,21,4,3,0,5,NA,8,NA,8,8,8,8,30,4,1,1
